sample_id,sample_filename,AIR-Net PSNR,AIR-Net SSIM,Bicubic PSNR,Bicubic SSIM
252,002568.npy,7.3412,0.0187,24.7869,0.5901
253,002572.npy,4.6389,0.0657,23.8598,0.5812
254,002598.npy,8.8329,0.0291,23.5574,0.771
255,002604.npy,2.8821,0.0138,21.1305,0.2777
256,002612.npy,3.6254,0.0179,20.6445,0.3149
257,002613.npy,3.0771,0.0246,20.6,0.3379
258,002625.npy,4.0919,0.0086,18.9862,0.2232
259,002640.npy,4.2314,0.0098,20.9036,0.5103
260,002660.npy,5.0064,0.0179,21.0494,0.3975
261,002675.npy,6.1409,0.0142,22.3811,0.4832
262,002680.npy,10.4446,0.0595,24.8473,0.7347
263,002690.npy,4.9233,0.0522,21.5637,0.5047
264,002693.npy,0.5883,0.0172,19.9666,0.1409
265,002695.npy,6.0005,0.0052,20.0439,0.2961
266,002729.npy,1.367,0.0177,19.7441,0.1379
267,002731.npy,2.0659,0.0177,21.1134,0.2111
268,002734.npy,2.398,0.0156,19.5637,0.3016
269,002747.npy,10.1427,0.0242,25.2739,0.5414
270,002767.npy,7.3158,0.0277,23.8522,0.3458
271,002773.npy,6.4176,0.0153,24.1657,0.6313
272,002777.npy,11.5606,0.0275,22.2062,0.7012
273,002790.npy,6.0716,0.0051,20.7118,0.456
274,002796.npy,2.3044,0.0141,20.1334,0.2614
275,002799.npy,4.5436,0.0137,22.303,0.2744
276,002811.npy,16.0456,0.0415,27.8984,0.6297
277,002814.npy,5.1561,0.0228,23.1961,0.5978
278,002824.npy,5.7236,0.0146,20.9498,0.558
279,002842.npy,1.546,0.0158,20.8641,0.2418
280,002848.npy,6.0032,0.0197,23.3829,0.3988
281,002853.npy,10.8371,0.0433,20.7249,0.7246
282,002863.npy,7.2524,0.0077,22.69,0.6795
283,002869.npy,5.5045,0.0286,23.0208,0.3808
284,002879.npy,9.7271,0.0307,24.0885,0.6834
285,002888.npy,4.1563,0.0144,20.9066,0.363
286,002896.npy,6.4983,0.0175,22.3974,0.4627
287,002904.npy,8.3418,0.0351,23.9069,0.5971
288,002911.npy,12.6043,0.0227,27.403,0.5738
289,002919.npy,3.2161,0.0153,21.1143,0.4235
290,002931.npy,5.2645,0.0063,20.4716,0.4728
291,002939.npy,4.8151,0.0193,22.7242,0.4796
292,002945.npy,7.0029,0.0054,22.5504,0.6684
293,002959.npy,7.4531,0.0204,23.6473,0.5677
294,002977.npy,17.598,0.0576,27.4147,0.6758
295,003003.npy,8.6252,0.0284,24.738,0.3381
296,003005.npy,11.6574,0.0698,23.6049,0.7611
297,003016.npy,3.5581,0.0089,20.0269,0.6287
298,003019.npy,6.2984,0.0126,21.817,0.26
299,003033.npy,4.6435,0.0073,20.0981,0.4618
300,003045.npy,4.1585,0.0145,21.5679,0.2211
301,003056.npy,7.0046,0.0136,21.5095,0.5068
302,003065.npy,9.5924,0.0268,25.2495,0.6842
303,003072.npy,10.0264,0.0253,23.2699,0.6209
304,003073.npy,10.4736,0.0302,26.0064,0.4378
305,003080.npy,5.2674,0.024,23.3666,0.5054
306,003090.npy,9.8217,0.0172,24.3468,0.631
307,003092.npy,5.6213,0.0166,21.2199,0.3061
308,003105.npy,13.0034,0.1236,29.0008,0.8302
309,003107.npy,13.7897,0.1213,30.079,0.8564
310,003110.npy,2.9016,0.0149,20.4983,0.3319
311,003113.npy,9.6854,0.0382,23.574,0.7341
312,003116.npy,1.8182,0.0173,20.1127,0.136
313,003120.npy,10.3558,0.037,28.6339,0.6599
314,003129.npy,1.5541,0.0143,20.3273,0.1756
315,003138.npy,11.684,0.0169,23.1135,0.6838
316,003160.npy,6.1929,0.0166,21.3205,0.4347
317,003171.npy,11.4659,0.0418,26.5437,0.6821
318,003174.npy,6.9147,0.0223,23.4011,0.3932
319,003185.npy,10.2507,0.0821,24.3167,0.8141
