canonical_id,sample_filename,airnet_psnr,bicubic_psnr,psnr_difference,airnet_ssim,bicubic_ssim,ssim_difference,hf_retention_ratio,airnet_gradient_energy,gt_gradient_energy,airnet_laplacian_energy,gt_laplacian_energy,detail_loss_classification,airnet_mae_residual
100,001154.npy,5.4715,21.6208,-16.1493,0.0122,0.4895,-0.4773,0.149467,0.00101481,0.26984721,0.00781101,0.01820647,Severe Detail Loss,0.479328
101,001158.npy,10.7513,24.459,-13.7077,0.0183,0.4282,-0.4099,0.088141,0.0011103,0.05847609,0.00302655,0.0244058,Severe Detail Loss,0.245672
102,001162.npy,3.6185,21.9358,-18.3172,0.018,0.2808,-0.2629,0.435421,0.00081854,0.13462566,0.0118902,0.01081118,Severe Detail Loss,0.634331
103,001180.npy,8.585,22.7926,-14.2076,0.0164,0.736,-0.7196,0.046286,0.00102011,0.42062587,0.00394107,0.03516143,Severe Detail Loss,0.319407
104,001183.npy,6.609,22.2111,-15.6022,0.0097,0.549,-0.5394,0.118429,0.00095738,0.26698273,0.00626383,0.02014248,Severe Detail Loss,0.439449
105,001184.npy,4.981,22.1373,-17.1562,0.0072,0.6082,-0.601,0.135014,0.00094095,0.33950669,0.00870088,0.0250417,Severe Detail Loss,0.531763
106,001215.npy,4.9581,19.5648,-14.6067,0.0148,0.6375,-0.6227,0.041578,0.00102577,0.81931597,0.00800254,0.07449636,Severe Detail Loss,0.481211
107,001218.npy,12.98,25.3829,-12.4029,0.0377,0.7217,-0.684,0.054544,0.00107093,0.15081911,0.00206901,0.01792594,Severe Detail Loss,0.176282
108,001238.npy,14.4754,29.0081,-14.5327,0.0331,0.8144,-0.7813,0.129713,0.0010686,0.1042631,0.00182629,0.00467328,Severe Detail Loss,0.164555
109,001257.npy,4.6075,21.055,-16.4475,0.0245,0.1576,-0.1331,0.495438,0.00080937,0.10131166,0.00986828,0.00703318,Severe Detail Loss,0.58411
110,001267.npy,8.4574,24.587,-16.1296,0.0797,0.6644,-0.5847,0.179091,0.00089071,0.14507532,0.00388071,0.00743483,Severe Detail Loss,0.238816
111,001275.npy,9.9005,26.1293,-16.2288,0.1177,0.7786,-0.6609,0.134042,0.00092415,0.20367087,0.00324638,0.00780365,Severe Detail Loss,0.252201
