canonical_id,sample_filename,airnet_psnr,bicubic_psnr,psnr_difference,airnet_ssim,bicubic_ssim,ssim_difference,hf_retention_ratio,airnet_gradient_energy,gt_gradient_energy,airnet_laplacian_energy,gt_laplacian_energy,detail_loss_classification,airnet_mae_residual
216,002198.npy,14.3474,28.8846,-14.5372,0.0591,0.7608,-0.7017,0.200721,0.00105779,0.07418972,0.00190622,0.00360657,Severe Detail Loss,0.157616
217,002199.npy,16.7082,31.3176,-14.6094,0.0948,0.8372,-0.7425,0.187792,0.00099702,0.06177316,0.00158021,0.00312447,Severe Detail Loss,0.110542
218,002200.npy,4.4854,19.6827,-15.1972,0.0136,0.3528,-0.3392,0.140232,0.00096625,0.27929837,0.00972127,0.03170443,Severe Detail Loss,0.567686
219,002214.npy,17.4558,32.2015,-14.7456,0.0506,0.8078,-0.7571,0.178895,0.00115292,0.04717551,0.00157288,0.00347654,Severe Detail Loss,0.122183
220,002235.npy,1.5832,19.7529,-18.1697,0.013,0.2613,-0.2484,0.460183,0.00093313,0.25323087,0.01788474,0.01264503,Severe Detail Loss,0.826198
221,002237.npy,6.8746,21.7947,-14.9201,0.0657,0.6686,-0.6028,0.047598,0.00119792,0.53904557,0.00552529,0.04797852,Severe Detail Loss,0.351888
222,002253.npy,3.3525,20.9376,-17.5851,0.0087,0.401,-0.3922,0.147026,0.0009551,0.52206385,0.01169592,0.03605939,Severe Detail Loss,0.640069
223,002255.npy,3.308,19.9662,-16.6581,0.0089,0.3628,-0.354,0.148682,0.00099304,0.52449691,0.01179881,0.03591875,Severe Detail Loss,0.643814
224,002264.npy,2.109,18.4445,-16.3355,0.0081,0.5332,-0.5251,0.062858,0.00096793,1.60859919,0.01404429,0.0609809,Severe Detail Loss,0.73593
225,002267.npy,11.9778,24.7737,-12.7959,0.0471,0.8288,-0.7817,0.031911,0.00109665,0.41030997,0.00209746,0.02243683,Severe Detail Loss,0.174999
226,002278.npy,4.7498,22.1283,-17.3785,0.0136,0.2774,-0.2638,0.187269,0.00086261,0.15706804,0.00929836,0.02663236,Severe Detail Loss,0.547297
227,002294.npy,9.4355,23.2881,-13.8525,0.0219,0.7115,-0.6896,0.040557,0.00102107,0.46490797,0.00334744,0.03087505,Severe Detail Loss,0.27
228,002300.npy,3.7676,21.6241,-17.8565,0.0078,0.4795,-0.4717,0.225421,0.00085021,0.25170916,0.01137224,0.01964348,Severe Detail Loss,0.629105
229,002301.npy,7.186,23.4659,-16.2799,0.0288,0.3739,-0.3451,0.295277,0.00095421,0.09703833,0.00556854,0.00746688,Severe Detail Loss,0.404804
230,002317.npy,2.5484,17.2164,-14.668,0.0022,0.5492,-0.5471,0.063584,0.00117349,0.99952984,0.01404392,0.07806969,Severe Detail Loss,0.729133
231,002324.npy,3.5655,22.487,-18.9215,0.0242,0.3919,-0.3677,0.482201,0.00087913,0.1568791,0.01178909,0.0080823,Severe Detail Loss,0.609432
232,002327.npy,2.7481,21.4291,-18.681,0.0159,0.306,-0.29,0.705975,0.00084327,0.13931473,0.01423931,0.00684782,Severe Detail Loss,0.704042
233,002336.npy,3.6297,19.6435,-16.0138,0.0169,0.4805,-0.4636,0.067309,0.00109487,0.68917584,0.01094754,0.06865588,Severe Detail Loss,0.585421
234,002343.npy,4.5864,22.7346,-18.1482,0.0157,0.3832,-0.3674,0.457543,0.00076331,0.12910412,0.00976954,0.00763105,Severe Detail Loss,0.581423
235,002363.npy,7.2701,22.4391,-15.169,0.0207,0.695,-0.6743,0.063479,0.00107732,0.45814094,0.00509724,0.02853277,Severe Detail Loss,0.340757
236,002385.npy,3.6652,18.2893,-14.624,0.0064,0.2545,-0.2481,0.079243,0.00093488,0.34174779,0.01144012,0.06421364,Severe Detail Loss,0.618345
237,002391.npy,2.0281,19.4142,-17.3861,0.0111,0.2618,-0.2507,0.246045,0.00093016,0.29455328,0.01632168,0.02558098,Severe Detail Loss,0.781261
238,002393.npy,5.366,18.9204,-13.5543,0.0063,0.6038,-0.5975,0.03175,0.00110052,0.91983652,0.0073598,0.08780155,Severe Detail Loss,0.481008
239,002432.npy,1.4739,20.0433,-18.5695,0.018,0.1912,-0.1732,0.426757,0.00101699,0.22635415,0.01842689,0.01549142,Severe Detail Loss,0.814896
240,002433.npy,9.8597,25.2706,-15.4109,0.0253,0.6447,-0.6194,0.090618,0.00094847,0.16476339,0.00323178,0.01389513,Severe Detail Loss,0.276978
241,002435.npy,8.5608,22.8159,-14.2551,0.0204,0.5374,-0.517,0.101789,0.00097864,0.19782612,0.00422552,0.01631426,Severe Detail Loss,0.330552
242,002449.npy,10.5415,27.0226,-16.4811,0.0378,0.6081,-0.5703,0.243197,0.00105809,0.08516665,0.00299174,0.00489916,Severe Detail Loss,0.253406
243,002450.npy,10.6314,26.6873,-16.0559,0.0383,0.5956,-0.5573,0.245914,0.00108452,0.08443828,0.00296647,0.0048134,Severe Detail Loss,0.249483
244,002454.npy,5.9562,22.0011,-16.0449,0.0084,0.6192,-0.6108,0.31232,0.00093266,0.23853384,0.00711936,0.00678671,Severe Detail Loss,0.469252
245,002489.npy,3.646,20.3227,-16.6767,0.0153,0.2037,-0.1884,0.360282,0.00087799,0.13527888,0.0118876,0.01552918,Severe Detail Loss,0.642917
246,002511.npy,2.3627,18.0181,-15.6555,0.0076,0.2783,-0.2707,0.107536,0.00104964,0.41017801,0.01508637,0.0711412,Severe Detail Loss,0.739057
247,002520.npy,11.0689,25.0626,-13.9937,0.0481,0.6486,-0.6006,0.073501,0.00101607,0.16547972,0.00272595,0.01512042,Severe Detail Loss,0.222265
248,002532.npy,7.6209,22.7165,-15.0955,0.0188,0.5879,-0.569,0.123207,0.00096271,0.21468121,0.00498036,0.01327279,Severe Detail Loss,0.362386
249,002556.npy,9.0124,26.2903,-17.2779,0.0192,0.723,-0.7038,0.267103,0.00095271,0.13789889,0.00379171,0.00596447,Severe Detail Loss,0.317126
250,002557.npy,10.0749,24.2329,-14.158,0.0187,0.6665,-0.6478,0.09539,0.00109033,0.22658357,0.00322345,0.01246377,Severe Detail Loss,0.280586
251,002558.npy,10.0885,25.7576,-15.6691,0.0184,0.7305,-0.7121,0.092962,0.00104136,0.22373091,0.00319934,0.0126603,Severe Detail Loss,0.281268
252,002568.npy,7.3412,24.7869,-17.4457,0.0187,0.5901,-0.5714,0.229557,0.00092647,0.1408716,0.00543971,0.0092074,Severe Detail Loss,0.386786
253,002572.npy,4.6389,23.8598,-19.2209,0.0657,0.5812,-0.5156,0.668518,0.00085123,0.11413136,0.00899964,0.00456879,Severe Detail Loss,0.483346
254,002598.npy,8.8329,23.5574,-14.7245,0.0291,0.771,-0.7419,0.057008,0.00098704,0.41171321,0.00370898,0.0243234,Severe Detail Loss,0.290582
255,002604.npy,2.8821,21.1305,-18.2484,0.0138,0.2777,-0.2639,0.328317,0.00084041,0.18605366,0.01370951,0.01975535,Severe Detail Loss,0.696063
256,002612.npy,3.6254,20.6445,-17.0191,0.0179,0.3149,-0.2971,0.327428,0.00097931,0.18261543,0.01158034,0.01398517,Severe Detail Loss,0.599559
257,002613.npy,3.0771,20.6,-17.5228,0.0246,0.3379,-0.3133,0.433098,0.00099124,0.17044669,0.01278948,0.01031057,Severe Detail Loss,0.629507
258,002625.npy,4.0919,18.9862,-14.8943,0.0086,0.2232,-0.2146,0.141783,0.00092702,0.20723331,0.01070562,0.04672937,Severe Detail Loss,0.609627
259,002640.npy,4.2314,20.9036,-16.6723,0.0098,0.5103,-0.5005,0.097162,0.00095473,0.55514133,0.00987447,0.03372679,Severe Detail Loss,0.574378
260,002660.npy,5.0064,21.0494,-16.043,0.0179,0.3975,-0.3796,0.204832,0.00094785,0.25295123,0.00859637,0.01490379,Severe Detail Loss,0.522653
261,002675.npy,6.1409,22.3811,-16.2402,0.0142,0.4832,-0.469,0.107048,0.00097942,0.30295122,0.00691879,0.02411825,Severe Detail Loss,0.455522
262,002680.npy,10.4446,24.8473,-14.4028,0.0595,0.7347,-0.6752,0.053645,0.00092852,0.2548987,0.00289591,0.02195955,Severe Detail Loss,0.219489
263,002690.npy,4.9233,21.5637,-16.6404,0.0522,0.5047,-0.4525,0.132863,0.00094903,0.38104418,0.00851533,0.01987404,Severe Detail Loss,0.488601
264,002693.npy,0.5883,19.9666,-19.3783,0.0172,0.1409,-0.1237,0.531154,0.00105202,0.22059476,0.02214763,0.01433965,Severe Detail Loss,0.932537
265,002695.npy,6.0005,20.0439,-14.0434,0.0052,0.2961,-0.291,0.053848,0.00093801,0.24407971,0.0071745,0.09115025,Severe Detail Loss,0.480245
266,002729.npy,1.367,19.7441,-18.3771,0.0177,0.1379,-0.1201,0.567293,0.00098286,0.18072756,0.01887388,0.01140557,Severe Detail Loss,0.846719
267,002731.npy,2.0659,21.1134,-19.0475,0.0177,0.2111,-0.1934,0.498949,0.0008561,0.18848163,0.0163626,0.01112524,Severe Detail Loss,0.776219
268,002734.npy,2.398,19.5637,-17.1657,0.0156,0.3016,-0.286,0.335848,0.0010061,0.31473088,0.01477942,0.01413103,Severe Detail Loss,0.724065
269,002747.npy,10.1427,25.2739,-15.1312,0.0242,0.5414,-0.5172,0.226966,0.00104553,0.06187188,0.00324252,0.0079646,Severe Detail Loss,0.281395
270,002767.npy,7.3158,23.8522,-16.5364,0.0277,0.3458,-0.3181,0.359635,0.00095132,0.06445066,0.00553118,0.00705921,Severe Detail Loss,0.393741
271,002773.npy,6.4176,24.1657,-17.7481,0.0153,0.6313,-0.616,0.222956,0.00088283,0.18845797,0.00653332,0.01179886,Severe Detail Loss,0.437233
272,002777.npy,11.5606,22.2062,-10.6457,0.0275,0.7012,-0.6737,0.023239,0.00107849,0.40063363,0.00244519,0.04176664,Severe Detail Loss,0.201666
273,002790.npy,6.0716,20.7118,-14.6402,0.0051,0.456,-0.4509,0.07341,0.0009416,0.28289193,0.00713686,0.05159561,Severe Detail Loss,0.482772
274,002796.npy,2.3044,20.1334,-17.829,0.0141,0.2614,-0.2473,0.262259,0.00091433,0.27681273,0.01542992,0.0218773,Severe Detail Loss,0.738501
275,002799.npy,4.5436,22.303,-17.7594,0.0137,0.2744,-0.2607,0.257837,0.00082016,0.1033586,0.00987851,0.02240977,Severe Detail Loss,0.56098
276,002811.npy,16.0456,27.8984,-11.8528,0.0415,0.6297,-0.5882,0.07411,0.00112555,0.06528003,0.00163783,0.01312725,Severe Detail Loss,0.137806
277,002814.npy,5.1561,23.1961,-18.04,0.0228,0.5978,-0.575,0.196116,0.0009721,0.31712291,0.00788778,0.01292813,Severe Detail Loss,0.471912
278,002824.npy,5.7236,20.9498,-15.2262,0.0146,0.558,-0.5434,0.106796,0.00109105,0.42568594,0.00705475,0.0230174,Severe Detail Loss,0.450069
279,002842.npy,1.546,20.8641,-19.3181,0.0158,0.2418,-0.226,0.475493,0.00090316,0.23173204,0.01810756,0.01256633,Severe Detail Loss,0.822027
280,002848.npy,6.0032,23.3829,-17.3797,0.0197,0.3988,-0.3791,0.286458,0.0008675,0.12443507,0.00717274,0.00964742,Severe Detail Loss,0.456542
281,002853.npy,10.8371,20.7249,-9.8877,0.0433,0.7246,-0.6813,0.014232,0.00124656,0.68026018,0.00253034,0.08291636,Severe Detail Loss,0.202943
282,002863.npy,7.2524,22.69,-15.4377,0.0077,0.6795,-0.6718,0.128764,0.00099211,0.32945415,0.00542308,0.01330351,Severe Detail Loss,0.408305
283,002869.npy,5.5045,23.0208,-17.5163,0.0286,0.3808,-0.3522,0.422605,0.00084251,0.08699196,0.00772656,0.00745449,Severe Detail Loss,0.457523
284,002879.npy,9.7271,24.0885,-14.3615,0.0307,0.6834,-0.6527,0.065579,0.00114125,0.25041261,0.00331375,0.01805744,Severe Detail Loss,0.248287
285,002888.npy,4.1563,20.9066,-16.7503,0.0144,0.363,-0.3486,0.399686,0.00087383,0.18260719,0.01047753,0.00994511,Severe Detail Loss,0.595441
286,002896.npy,6.4983,22.3974,-15.8991,0.0175,0.4627,-0.4452,0.337555,0.00095301,0.15405954,0.00644217,0.00653515,Severe Detail Loss,0.443231
287,002904.npy,8.3418,23.9069,-15.5651,0.0351,0.5971,-0.562,0.247597,0.00094584,0.14620972,0.00433696,0.00574142,Severe Detail Loss,0.337109
288,002911.npy,12.6043,27.403,-14.7986,0.0227,0.5738,-0.5511,0.101114,0.00100307,0.07789911,0.00210492,0.00903291,Severe Detail Loss,0.219881
289,002919.npy,3.2161,21.1143,-17.8982,0.0153,0.4235,-0.4082,0.290774,0.00093758,0.29542625,0.01231205,0.01356028,Severe Detail Loss,0.632595
290,002931.npy,5.2645,20.4716,-15.2072,0.0063,0.4728,-0.4665,0.067652,0.00087227,0.42615107,0.0083425,0.05346083,Severe Detail Loss,0.528321
291,002939.npy,4.8151,22.7242,-17.9092,0.0193,0.4796,-0.4603,0.249071,0.00080178,0.21852601,0.00910388,0.01253671,Severe Detail Loss,0.54857
292,002945.npy,7.0029,22.5504,-15.5474,0.0054,0.6684,-0.663,0.076287,0.00098035,0.38135058,0.00574133,0.0297627,Severe Detail Loss,0.423856
293,002959.npy,7.4531,23.6473,-16.1942,0.0204,0.5677,-0.5473,0.138037,0.00090998,0.16194385,0.00530622,0.01785562,Severe Detail Loss,0.388989
294,002977.npy,17.598,27.4147,-9.8168,0.0576,0.6758,-0.6181,0.041067,0.00096824,0.09319898,0.00133825,0.01944886,Severe Detail Loss,0.099805
295,003003.npy,8.6252,24.738,-16.1127,0.0284,0.3381,-0.3096,0.391537,0.0009647,0.06912573,0.00447615,0.00440177,Severe Detail Loss,0.36036
296,003005.npy,11.6574,23.6049,-11.9475,0.0698,0.7611,-0.6912,0.026882,0.0010921,0.40226781,0.00232206,0.03618909,Severe Detail Loss,0.1687
297,003016.npy,3.5581,20.0269,-16.4689,0.0089,0.6287,-0.6199,0.097996,0.00096358,0.71108204,0.01110538,0.04093758,Severe Detail Loss,0.618725
298,003019.npy,6.2984,21.817,-15.5187,0.0126,0.26,-0.2474,0.135582,0.00095337,0.11993915,0.00684843,0.02993373,Severe Detail Loss,0.449302
299,003033.npy,4.6435,20.0981,-15.4546,0.0073,0.4618,-0.4545,0.138999,0.000963,0.29437914,0.00939562,0.02768855,Severe Detail Loss,0.546642
300,003045.npy,4.1585,21.5679,-17.4094,0.0145,0.2211,-0.2065,0.310041,0.0008042,0.09915215,0.0107354,0.02049719,Severe Detail Loss,0.595385
301,003056.npy,7.0046,21.5095,-14.5049,0.0136,0.5068,-0.4932,0.06162,0.00102255,0.32653189,0.00577694,0.04356131,Severe Detail Loss,0.413769
302,003065.npy,9.5924,25.2495,-15.6571,0.0268,0.6842,-0.6574,0.109256,0.00103566,0.18995047,0.00348297,0.01209105,Severe Detail Loss,0.282835
303,003072.npy,10.0264,23.2699,-13.2434,0.0253,0.6209,-0.5956,0.036595,0.00105959,0.2702356,0.00323147,0.04764426,Severe Detail Loss,0.282342
304,003073.npy,10.4736,26.0064,-15.5328,0.0302,0.4378,-0.4077,0.348534,0.00097633,0.05435868,0.00300943,0.00351054,Severe Detail Loss,0.281829
305,003080.npy,5.2674,23.3666,-18.0992,0.024,0.5054,-0.4815,0.239557,0.00088579,0.24110281,0.00810187,0.01149663,Severe Detail Loss,0.490855
306,003090.npy,9.8217,24.3468,-14.525,0.0172,0.631,-0.6138,0.068733,0.00109007,0.23192734,0.0034192,0.02095546,Severe Detail Loss,0.293111
307,003092.npy,5.6213,21.2199,-15.5985,0.0166,0.3061,-0.2895,0.307162,0.00090366,0.13695282,0.00793674,0.00962284,Severe Detail Loss,0.508466
308,003105.npy,13.0034,29.0008,-15.9974,0.1236,0.8302,-0.7066,0.166806,0.00087306,0.09821302,0.00201689,0.00403334,Severe Detail Loss,0.133254
309,003107.npy,13.7897,30.079,-16.2894,0.1213,0.8564,-0.7352,0.154162,0.00087795,0.09323984,0.00183822,0.00396373,Severe Detail Loss,0.123279
310,003110.npy,2.9016,20.4983,-17.5968,0.0149,0.3319,-0.317,0.35231,0.0009232,0.2356914,0.01338226,0.01354007,Severe Detail Loss,0.681701
311,003113.npy,9.6854,23.574,-13.8886,0.0382,0.7341,-0.696,0.04174,0.00103604,0.38074362,0.00329631,0.02882195,Severe Detail Loss,0.251353
312,003116.npy,1.8182,20.1127,-18.2945,0.0173,0.136,-0.1187,0.496796,0.00089986,0.15828514,0.01730457,0.01446107,Severe Detail Loss,0.796834
313,003120.npy,10.3558,28.6339,-18.2781,0.037,0.6599,-0.6229,0.421948,0.00094364,0.03945762,0.00298851,0.00289229,Severe Detail Loss,0.252606
314,003129.npy,1.5541,20.3273,-18.7732,0.0143,0.1756,-0.1613,0.473547,0.000882,0.190148,0.01823264,0.01403357,Severe Detail Loss,0.832847
315,003138.npy,11.684,23.1135,-11.4294,0.0169,0.6838,-0.6669,0.028476,0.00107997,0.36835328,0.00238994,0.02963274,Severe Detail Loss,0.216993
316,003160.npy,6.1929,21.3205,-15.1275,0.0166,0.4347,-0.4181,0.13345,0.0010012,0.25493115,0.0067983,0.02100021,Severe Detail Loss,0.449176
317,003171.npy,11.4659,26.5437,-15.0778,0.0418,0.6821,-0.6403,0.148671,0.00099829,0.0956222,0.00248325,0.00826989,Severe Detail Loss,0.185746
318,003174.npy,6.9147,23.4011,-16.4864,0.0223,0.3932,-0.3709,0.280822,0.00092254,0.15595247,0.00608379,0.0069899,Severe Detail Loss,0.433053
319,003185.npy,10.2507,24.3167,-14.066,0.0821,0.8141,-0.7321,0.041672,0.00097848,0.37534156,0.00284299,0.02593323,Severe Detail Loss,0.228806
