sample_id,sample_filename,AIR-Net PSNR,AIR-Net SSIM,AIR-Net LPIPS,Bicubic PSNR,Bicubic SSIM,Bicubic LPIPS,Edge MAE AIR-Net,Edge MAE Bicubic
264,002693.npy,0.5883,0.0172,0.9325,19.9666,0.1409,0.0749,0.085262,0.472014
316,003160.npy,6.1929,0.0166,0.4492,21.3205,0.4347,0.0633,0.245675,0.346905
148,001579.npy,18.9313,0.1626,0.0798,32.0047,0.8036,0.0159,0.076044,0.076082
