sample_id,sample_filename,Edge MAE AIR-Net,Edge MAE Bicubic
175,001768.npy,0.1101,0.483695
176,001787.npy,0.374506,0.300108
177,001794.npy,0.413462,0.495744
178,001796.npy,0.173896,0.087543
179,001802.npy,0.062701,0.200413
180,001806.npy,0.332485,0.299633
181,001819.npy,0.145306,0.148175
182,001843.npy,0.159154,0.172603
183,001853.npy,0.200158,0.266965
184,001863.npy,0.143368,0.288656
185,001881.npy,0.361417,0.309971
186,001884.npy,0.076517,0.577488
187,001895.npy,0.242054,0.304415
188,001899.npy,0.20078,0.303168
189,001919.npy,0.371862,0.176321
190,001923.npy,0.375967,0.267119
191,001930.npy,0.416986,0.239745
192,001955.npy,0.091841,0.05285
193,001959.npy,0.141549,0.215435
194,001969.npy,0.187382,0.309422
195,001981.npy,0.430495,0.349981
196,001986.npy,0.139065,0.367102
197,001998.npy,0.242098,0.135067
198,002027.npy,0.235081,0.413537
199,002038.npy,0.240771,0.359588
200,002041.npy,0.838876,0.44261
201,002047.npy,0.27936,0.431895
202,002049.npy,0.115136,0.103265
203,002056.npy,0.245228,0.148654
204,002061.npy,0.203791,0.320262
205,002062.npy,0.215272,0.344566
206,002068.npy,0.359063,0.246331
207,002088.npy,0.372013,0.222515
208,002101.npy,0.219855,0.343119
209,002135.npy,0.527213,0.259099
210,002139.npy,0.340688,0.259242
211,002146.npy,0.483956,0.265108
212,002160.npy,0.25388,0.328647
213,002169.npy,0.254335,0.289266
214,002182.npy,0.310125,0.328804
215,002191.npy,0.261929,0.370772
216,002198.npy,0.154709,0.11033
217,002199.npy,0.120824,0.073814
218,002200.npy,0.299871,0.404683
219,002214.npy,0.117018,0.074722
220,002235.npy,0.206611,0.456032
221,002237.npy,0.464939,0.268929
222,002253.npy,0.377954,0.330903
223,002255.npy,0.377615,0.384626
224,002264.npy,0.688173,0.533927
225,002267.npy,0.267217,0.160868
226,002278.npy,0.185089,0.27899
227,002294.npy,0.365012,0.206915
228,002300.npy,0.331833,0.290643
229,002301.npy,0.099928,0.277123
230,002317.npy,0.765963,0.46201
231,002324.npy,0.1611,0.313796
232,002327.npy,0.15672,0.377868
233,002336.npy,0.500955,0.3583
234,002343.npy,0.178585,0.297978
235,002363.npy,0.399976,0.233581
236,002385.npy,0.40529,0.372657
