canonical_id,sample_filename,AIR-Net PSNR,Bicubic PSNR,PSNR Difference,AIR-Net SSIM,Bicubic SSIM,SSIM Difference,Detail Loss Classification,AIR-Net PSNR Win,Bicubic PSNR Win,AIR-Net SSIM Win
289,002919.npy,3.2161,21.1143,-17.8982,0.0153,0.4235,-0.4082,Severe Detail Loss,False,True,False
290,002931.npy,5.2645,20.4716,-15.2072,0.0063,0.4728,-0.4665,Severe Detail Loss,False,True,False
291,002939.npy,4.8151,22.7242,-17.9092,0.0193,0.4796,-0.4603,Severe Detail Loss,False,True,False
292,002945.npy,7.0029,22.5504,-15.5474,0.0054,0.6684,-0.663,Severe Detail Loss,False,True,False
293,002959.npy,7.4531,23.6473,-16.1942,0.0204,0.5677,-0.5473,Severe Detail Loss,False,True,False
294,002977.npy,17.598,27.4147,-9.8168,0.0576,0.6758,-0.6181,Severe Detail Loss,False,True,False
295,003003.npy,8.6252,24.738,-16.1127,0.0284,0.3381,-0.3096,Severe Detail Loss,False,True,False
296,003005.npy,11.6574,23.6049,-11.9475,0.0698,0.7611,-0.6912,Severe Detail Loss,False,True,False
297,003016.npy,3.5581,20.0269,-16.4689,0.0089,0.6287,-0.6199,Severe Detail Loss,False,True,False
298,003019.npy,6.2984,21.817,-15.5187,0.0126,0.26,-0.2474,Severe Detail Loss,False,True,False
299,003033.npy,4.6435,20.0981,-15.4546,0.0073,0.4618,-0.4545,Severe Detail Loss,False,True,False
300,003045.npy,4.1585,21.5679,-17.4094,0.0145,0.2211,-0.2065,Severe Detail Loss,False,True,False
301,003056.npy,7.0046,21.5095,-14.5049,0.0136,0.5068,-0.4932,Severe Detail Loss,False,True,False
302,003065.npy,9.5924,25.2495,-15.6571,0.0268,0.6842,-0.6574,Severe Detail Loss,False,True,False
303,003072.npy,10.0264,23.2699,-13.2434,0.0253,0.6209,-0.5956,Severe Detail Loss,False,True,False
304,003073.npy,10.4736,26.0064,-15.5328,0.0302,0.4378,-0.4077,Severe Detail Loss,False,True,False
305,003080.npy,5.2674,23.3666,-18.0992,0.024,0.5054,-0.4815,Severe Detail Loss,False,True,False
306,003090.npy,9.8217,24.3468,-14.525,0.0172,0.631,-0.6138,Severe Detail Loss,False,True,False
307,003092.npy,5.6213,21.2199,-15.5985,0.0166,0.3061,-0.2895,Severe Detail Loss,False,True,False
308,003105.npy,13.0034,29.0008,-15.9974,0.1236,0.8302,-0.7066,Severe Detail Loss,False,True,False
309,003107.npy,13.7897,30.079,-16.2894,0.1213,0.8564,-0.7352,Severe Detail Loss,False,True,False
310,003110.npy,2.9016,20.4983,-17.5968,0.0149,0.3319,-0.317,Severe Detail Loss,False,True,False
311,003113.npy,9.6854,23.574,-13.8886,0.0382,0.7341,-0.696,Severe Detail Loss,False,True,False
312,003116.npy,1.8182,20.1127,-18.2945,0.0173,0.136,-0.1187,Severe Detail Loss,False,True,False
313,003120.npy,10.3558,28.6339,-18.2781,0.037,0.6599,-0.6229,Severe Detail Loss,False,True,False
314,003129.npy,1.5541,20.3273,-18.7732,0.0143,0.1756,-0.1613,Severe Detail Loss,False,True,False
315,003138.npy,11.684,23.1135,-11.4294,0.0169,0.6838,-0.6669,Severe Detail Loss,False,True,False
316,003160.npy,6.1929,21.3205,-15.1275,0.0166,0.4347,-0.4181,Severe Detail Loss,False,True,False
317,003171.npy,11.4659,26.5437,-15.0778,0.0418,0.6821,-0.6403,Severe Detail Loss,False,True,False
318,003174.npy,6.9147,23.4011,-16.4864,0.0223,0.3932,-0.3709,Severe Detail Loss,False,True,False
319,003185.npy,10.2507,24.3167,-14.066,0.0821,0.8141,-0.7321,Severe Detail Loss,False,True,False
