canonical_id,sample_filename,AIR-Net PSNR,Bicubic PSNR,PSNR Difference,AIR-Net SSIM,Bicubic SSIM,SSIM Difference,Detail Loss Classification,AIR-Net PSNR Win,Bicubic PSNR Win,AIR-Net SSIM Win
106,001215.npy,4.9581,19.5648,-14.6067,0.0148,0.6375,-0.6227,Severe Detail Loss,False,True,False
107,001218.npy,12.98,25.3829,-12.4029,0.0377,0.7217,-0.684,Severe Detail Loss,False,True,False
108,001238.npy,14.4754,29.0081,-14.5327,0.0331,0.8144,-0.7813,Severe Detail Loss,False,True,False
109,001257.npy,4.6075,21.055,-16.4475,0.0245,0.1576,-0.1331,Severe Detail Loss,False,True,False
110,001267.npy,8.4574,24.587,-16.1296,0.0797,0.6644,-0.5847,Severe Detail Loss,False,True,False
111,001275.npy,9.9005,26.1293,-16.2288,0.1177,0.7786,-0.6609,Severe Detail Loss,False,True,False
112,001282.npy,11.005,20.8398,-9.8347,0.0058,0.4511,-0.4453,Severe Detail Loss,False,True,False
113,001291.npy,13.5724,22.7314,-9.159,0.0222,0.7359,-0.7137,Severe Detail Loss,False,True,False
114,001294.npy,15.614,28.5515,-12.9375,0.0485,0.71,-0.6615,Severe Detail Loss,False,True,False
115,001297.npy,4.3826,21.6588,-17.2762,0.0183,0.2973,-0.279,Severe Detail Loss,False,True,False
116,001300.npy,5.9882,22.25,-16.2618,0.0261,0.3079,-0.2818,Severe Detail Loss,False,True,False
117,001306.npy,2.4419,19.0668,-16.6249,0.0052,0.4001,-0.3948,Severe Detail Loss,False,True,False
118,001327.npy,10.1323,22.6003,-12.468,0.0337,0.7224,-0.6887,Severe Detail Loss,False,True,False
119,001354.npy,6.08,22.2067,-16.1267,0.0171,0.3541,-0.337,Severe Detail Loss,False,True,False
120,001363.npy,5.8907,21.1802,-15.2895,0.0063,0.3411,-0.3348,Severe Detail Loss,False,True,False
121,001367.npy,5.9912,21.5907,-15.5995,0.0183,0.3528,-0.3345,Severe Detail Loss,False,True,False
122,001369.npy,6.0459,21.1458,-15.0999,0.0044,0.6147,-0.6103,Severe Detail Loss,False,True,False
123,001390.npy,5.2614,23.7161,-18.4548,0.0208,0.3431,-0.3224,Severe Detail Loss,False,True,False
124,001400.npy,10.5855,27.3762,-16.7907,0.0305,0.7322,-0.7018,Severe Detail Loss,False,True,False
125,001408.npy,14.9169,29.0676,-14.1507,0.1596,0.8528,-0.6932,Severe Detail Loss,False,True,False
126,001415.npy,4.583,19.4906,-14.9076,0.0071,0.6382,-0.6311,Severe Detail Loss,False,True,False
127,001434.npy,1.0764,21.9315,-20.855,0.021,0.2395,-0.2185,Severe Detail Loss,False,True,False
128,001438.npy,7.847,24.2568,-16.4097,0.0229,0.4775,-0.4546,Severe Detail Loss,False,True,False
129,001439.npy,8.1144,25.4203,-17.306,0.0234,0.5597,-0.5362,Severe Detail Loss,False,True,False
130,001443.npy,7.8564,23.0505,-15.1941,0.013,0.5803,-0.5673,Severe Detail Loss,False,True,False
131,001445.npy,16.6171,30.2942,-13.6771,0.2881,0.9238,-0.6357,Severe Detail Loss,False,True,False
132,001478.npy,10.1379,25.4813,-15.3434,0.0526,0.7093,-0.6567,Severe Detail Loss,False,True,False
133,001479.npy,10.5031,27.1863,-16.6832,0.0504,0.752,-0.7017,Severe Detail Loss,False,True,False
134,001482.npy,2.1722,21.3272,-19.1551,0.0125,0.3676,-0.355,Severe Detail Loss,False,True,False
135,001484.npy,4.075,20.9752,-16.9002,0.0395,0.3597,-0.3202,Severe Detail Loss,False,True,False
136,001485.npy,3.5044,20.225,-16.7206,0.0271,0.2943,-0.2672,Severe Detail Loss,False,True,False
137,001495.npy,5.0192,21.9003,-16.8811,0.1177,0.5533,-0.4356,Severe Detail Loss,False,True,False
138,001496.npy,4.1341,22.6683,-18.5341,0.0265,0.4445,-0.418,Severe Detail Loss,False,True,False
139,001500.npy,6.7354,23.5589,-16.8235,0.0139,0.4041,-0.3902,Severe Detail Loss,False,True,False
140,001515.npy,15.8083,25.4152,-9.6069,0.0436,0.7334,-0.6898,Severe Detail Loss,False,True,False
141,001520.npy,4.8658,21.6793,-16.8135,0.0136,0.4974,-0.4838,Severe Detail Loss,False,True,False
142,001522.npy,7.502,25.4573,-17.9553,0.0188,0.6505,-0.6317,Severe Detail Loss,False,True,False
143,001527.npy,9.82,26.235,-16.4151,0.0558,0.568,-0.5123,Severe Detail Loss,False,True,False
144,001528.npy,5.8276,20.5605,-14.7329,0.0125,0.4212,-0.4087,Severe Detail Loss,False,True,False
145,001529.npy,10.1498,26.4448,-16.2951,0.0208,0.5451,-0.5243,Severe Detail Loss,False,True,False
146,001534.npy,12.7753,25.4353,-12.66,0.0307,0.6265,-0.5958,Severe Detail Loss,False,True,False
147,001570.npy,14.0314,26.7592,-12.7278,0.0192,0.5554,-0.5362,Severe Detail Loss,False,True,False
148,001579.npy,18.9313,32.0047,-13.0734,0.1626,0.8036,-0.641,Severe Detail Loss,False,True,False
149,001585.npy,6.957,21.8468,-14.8898,0.0134,0.673,-0.6596,Severe Detail Loss,False,True,False
150,001589.npy,7.0761,20.7985,-13.7224,0.0115,0.6027,-0.5913,Severe Detail Loss,False,True,False
151,001597.npy,3.042,21.3142,-18.2722,0.0138,0.3195,-0.3057,Severe Detail Loss,False,True,False
152,001603.npy,11.2377,24.2138,-12.9762,0.0112,0.6845,-0.6733,Severe Detail Loss,False,True,False
153,001631.npy,8.2079,24.5435,-16.3356,0.0152,0.7127,-0.6974,Severe Detail Loss,False,True,False
154,001634.npy,5.909,22.8258,-16.9169,0.0156,0.3363,-0.3207,Severe Detail Loss,False,True,False
155,001636.npy,2.7451,18.376,-15.631,0.0142,0.4719,-0.4577,Severe Detail Loss,False,True,False
156,001638.npy,11.2295,21.3166,-10.0871,0.0668,0.7318,-0.665,Severe Detail Loss,False,True,False
157,001643.npy,15.6937,31.0137,-15.32,0.0415,0.7376,-0.6961,Severe Detail Loss,False,True,False
